Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track
Million Dollar Baby,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,684,62,17598718,114,18004655,22931,2669262,0
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188,40778,3,67,10422430,111,7780028,28444,1118279,1
I Like The Way You Kiss Me,I Like The Way You Kiss Me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,536,136,36321847,172,5022621,5639,5285340,0
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,2182,264,24684248,210,190260277,203384,11822942,0
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,7223,151469874,88.0,77373957,3670188,16400,26576922,266064027,112763851,182,12185,1,82,17660624,105,4493884,7006,457017,1
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,4654,86,17167254,152,138529362,50982,4517131,1
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,73118,201585714,86.0,308723145,4120760,182529,29584940,534915313,4601579812,280,383478,429,168,48197850,154,65447476,57372,9990302,0
Gata Only,Gata Only,Floyymenor,2024-02-02,QZL382406049,8,375.8,675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,6063523,1
Danza Kuduro - Cover,Ýýýýýýýýýýýýýýýýýýýýý - Ýýýýýýýýýýýýýýýýýý -,Music Lab Jpn,2024-06-09,TCJPA2463708,9,355.7,1653018119,1,15,67.0,148269610,1257935,182529,26576922,266064027,97746040,28,5954,86,15,237407,17,12735768,7818,854584,1
Band4Band (Feat. Lil Baby),Band4Band (Feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191,3823,117,78,10800098,92,1005626,842,666302,1
I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413,16219,168766158,91.0,32229063,550191,182529,184500,2100000,327130768,157,62312,71,60,12009073,114,23155471,21172,963413,1
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129,2,263767,67.0,148269610,1257935,182529,26576922,266064027,97746040,28,5954,86,15,237407,2,12735768,7818,854584,1
Lunch,Hit Me Hard And Soft,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000,342107131,244,41344,45,138,38243636,163,1354692,1219,450344,0
Like That,We Don'T Trust You,Future,2024-03-22,USSM12402041,14,308.2,355186436,43025,108168634,88.0,98081493,1456177,182529,26576922,266064027,174491415,153,90237,3,55,3001826,109,26252264,18364,1963314,1
Bathroom Floor,Bathroom Floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185,277,24445,12.0,6736502312,16785489,3,1088,22234,97746040,1,1057,86,15,237407,17,12735768,7818,3288,0
